INFO [2018-11-12 12:53:51] ||  Engine Assessment for pipeline STARTED  ||
INFO [2018-11-12 12:53:51] ||  Engine Assessment COMPLETE. Time taken : 0.0300488471984863 seconds||
INFO [2018-11-12 12:53:51] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 12:53:51] ||  Pipeline Prep. COMPLETE. Time taken : 0.00986504554748535 seconds||
INFO [2018-11-12 12:53:51] ||  Pipeline Execution STARTED  ||
INFO [2018-11-12 12:53:51] ||  Executing Batch Number : 1/1 containing functions 'univarCatDistPlots' ||
INFO [2018-11-12 12:53:51] ||  Function ID '1' named 'univarCatDistPlots' STARTED on the 'r' engine ||
INFO [2018-11-12 12:53:51] ||  Function ID '1' named 'univarCatDistPlots' COMPLETED. Time taken : 0.0245239734649658 seconds  ||
INFO [2018-11-12 12:53:51] ||  Batch Number 1/1 COMPLETE. Time taken : 0.0344719886779785 seconds  ||
INFO [2018-11-12 12:53:51] ||  Performing final garbage cleaning and collection of outputs  ||
INFO [2018-11-12 12:53:51] ||  Pipeline Execution COMPLETE. Time taken : 0.0490491390228271 seconds||
INFO [2018-11-12 12:53:51] ||  Engine Assessment for pipeline STARTED  ||
INFO [2018-11-12 12:53:51] ||  Engine Assessment COMPLETE. Time taken : 0.011793851852417 seconds||
INFO [2018-11-12 12:53:51] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 12:53:51] ||  The last function in the pipeline, 'bivariatePlots', has NOT been configured to store output. Automatically reconfiguring to STORE output  ||
INFO [2018-11-12 12:53:51] ||  Pipeline Prep. COMPLETE. Time taken : 0.0560739040374756 seconds||
INFO [2018-11-12 12:53:51] ||  Pipeline Execution STARTED  ||
INFO [2018-11-12 12:53:51] ||  Executing Batch Number : 1/1 containing functions 'univarCatDistPlots, outlierPlot, bivariatePlots' ||
INFO [2018-11-12 12:53:51] ||  Function ID '1' named 'univarCatDistPlots' STARTED on the 'r' engine ||
INFO [2018-11-12 12:53:51] ||  Function ID '1' named 'univarCatDistPlots' COMPLETED. Time taken : 0.0278549194335938 seconds  ||
INFO [2018-11-12 12:53:51] ||  Function ID '2' named 'outlierPlot' STARTED on the 'r' engine ||
INFO [2018-11-12 12:53:51] ||  Function ID '2' named 'outlierPlot' COMPLETED. Time taken : 0.0172710418701172 seconds  ||
INFO [2018-11-12 12:53:52] ||  Function ID '3' named 'bivariatePlots' STARTED on the 'r' engine ||
INFO [2018-11-12 12:53:52] ||  Function ID '3' named 'bivariatePlots' COMPLETED. Time taken : 0.0237388610839844 seconds  ||
INFO [2018-11-12 12:53:52] ||  Batch Number 1/1 COMPLETE. Time taken : 0.0878779888153076 seconds  ||
INFO [2018-11-12 12:53:52] ||  Performing final garbage cleaning and collection of outputs  ||
INFO [2018-11-12 12:53:52] ||  Pipeline Execution COMPLETE. Time taken : 0.101876974105835 seconds||
INFO [2018-11-12 12:53:52] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 12:53:52] ||  The last function in the pipeline, 'outlierPlot', has NOT been configured to store output. Automatically reconfiguring to STORE output  ||
INFO [2018-11-12 12:53:52] ||  Pipeline Prep. COMPLETE. Time taken : 0.0179178714752197 seconds||
INFO [2018-11-12 12:53:52] ||  Engine Assessment for pipeline STARTED  ||
INFO [2018-11-12 12:53:52] ||  Engine Assessment COMPLETE. Time taken : 0.0366039276123047 seconds||
INFO [2018-11-12 12:53:52] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 12:53:52] ||  The last function in the pipeline, 'outlierPlot', has NOT been configured to store output. Automatically reconfiguring to STORE output  ||
INFO [2018-11-12 12:53:52] ||  Pipeline Prep. COMPLETE. Time taken : 0.0142009258270264 seconds||
INFO [2018-11-12 12:53:52] ||  Pipeline Execution STARTED  ||
INFO [2018-11-12 12:53:52] ||  Executing Batch Number : 1/2 containing functions 'getColor, getColumnName' ||
INFO [2018-11-12 12:53:52] ||  Function ID '1' named 'getColor' STARTED on the 'r' engine ||
INFO [2018-11-12 12:53:52] ||  Function ID '1' named 'getColor' COMPLETED. Time taken : 0.00446796417236328 seconds  ||
INFO [2018-11-12 12:53:52] ||  Function ID '2' named 'getColumnName' STARTED on the 'r' engine ||
INFO [2018-11-12 12:53:52] ||  Function ID '2' named 'getColumnName' COMPLETED. Time taken : 0.00467586517333984 seconds  ||
INFO [2018-11-12 12:53:52] ||  Batch Number 1/2 COMPLETE. Time taken : 0.0225088596343994 seconds  ||
INFO [2018-11-12 12:53:52] ||  Executing Batch Number : 2/2 containing functions 'univarCatDistPlots, outlierPlot' ||
INFO [2018-11-12 12:53:52] ||  Cleared intermediate outputs which are not required  ||
INFO [2018-11-12 12:53:52] ||  Function ID '3' named 'univarCatDistPlots' STARTED on the 'r' engine ||
INFO [2018-11-12 12:53:52] ||  Function ID '3' named 'univarCatDistPlots' COMPLETED. Time taken : 0.0127978324890137 seconds  ||
INFO [2018-11-12 12:53:52] ||  Function ID '4' named 'outlierPlot' STARTED on the 'r' engine ||
INFO [2018-11-12 12:53:52] ||  Function ID '4' named 'outlierPlot' COMPLETED. Time taken : 0.0398008823394775 seconds  ||
INFO [2018-11-12 12:53:52] ||  Batch Number 2/2 COMPLETE. Time taken : 0.0799469947814941 seconds  ||
INFO [2018-11-12 12:53:52] ||  Performing final garbage cleaning and collection of outputs  ||
INFO [2018-11-12 12:53:52] ||  Pipeline Execution COMPLETE. Time taken : 0.119971990585327 seconds||
INFO [2018-11-12 15:30:54] ||  Engine Assessment for pipeline STARTED  ||
INFO [2018-11-12 15:30:54] ||  Engine Assessment COMPLETE. Time taken : 0.0193800926208496 seconds||
INFO [2018-11-12 15:30:54] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 15:30:54] ||  Pipeline Prep. COMPLETE. Time taken : 0.0104148387908936 seconds||
INFO [2018-11-12 15:30:54] ||  Pipeline Execution STARTED  ||
INFO [2018-11-12 15:30:54] ||  Executing Batch Number : 1/1 containing functions 'univarCatDistPlots' ||
INFO [2018-11-12 15:30:54] ||  Function ID '1' named 'univarCatDistPlots' STARTED on the 'r' engine ||
INFO [2018-11-12 15:30:54] ||  Function ID '1' named 'univarCatDistPlots' COMPLETED. Time taken : 0.109583854675293 seconds  ||
INFO [2018-11-12 15:30:54] ||  Batch Number 1/1 COMPLETE. Time taken : 0.116885185241699 seconds  ||
INFO [2018-11-12 15:30:54] ||  Performing final garbage cleaning and collection of outputs  ||
INFO [2018-11-12 15:30:54] ||  Pipeline Execution COMPLETE. Time taken : 0.127942085266113 seconds||
INFO [2018-11-12 15:30:55] ||  Engine Assessment for pipeline STARTED  ||
INFO [2018-11-12 15:30:55] ||  Engine Assessment COMPLETE. Time taken : 0.0114908218383789 seconds||
INFO [2018-11-12 15:30:55] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 15:30:55] ||  Pipeline Prep. COMPLETE. Time taken : 0.00772500038146973 seconds||
INFO [2018-11-12 15:30:55] ||  Pipeline Execution STARTED  ||
INFO [2018-11-12 15:30:55] ||  Executing Batch Number : 1/1 containing functions 'univarCatDistPlots, outlierPlot, bivariatePlots' ||
INFO [2018-11-12 15:30:55] ||  Function ID '1' named 'univarCatDistPlots' STARTED on the 'r' engine ||
INFO [2018-11-12 15:30:55] ||  Function ID '1' named 'univarCatDistPlots' COMPLETED. Time taken : 0.0123782157897949 seconds  ||
INFO [2018-11-12 15:30:55] ||  Function ID '2' named 'outlierPlot' STARTED on the 'r' engine ||
INFO [2018-11-12 15:30:55] ||  Function ID '2' named 'outlierPlot' COMPLETED. Time taken : 0.0118172168731689 seconds  ||
INFO [2018-11-12 15:30:55] ||  Function ID '3' named 'bivariatePlots' STARTED on the 'r' engine ||
INFO [2018-11-12 15:30:55] ||  Function ID '3' named 'bivariatePlots' COMPLETED. Time taken : 0.027047872543335 seconds  ||
INFO [2018-11-12 15:30:55] ||  Batch Number 1/1 COMPLETE. Time taken : 0.066842794418335 seconds  ||
INFO [2018-11-12 15:30:55] ||  Performing final garbage cleaning and collection of outputs  ||
INFO [2018-11-12 15:30:55] ||  Pipeline Execution COMPLETE. Time taken : 0.0780260562896729 seconds||
INFO [2018-11-12 15:46:55] ||  Engine Assessment for pipeline STARTED  ||
INFO [2018-11-12 15:46:55] ||  Engine Assessment COMPLETE. Time taken : 0.0187520980834961 seconds||
INFO [2018-11-12 15:46:55] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 15:46:55] ||  Pipeline Prep. COMPLETE. Time taken : 0.00920391082763672 seconds||
INFO [2018-11-12 15:46:55] ||  Pipeline Execution STARTED  ||
INFO [2018-11-12 15:46:55] ||  Executing Batch Number : 1/1 containing functions 'univarCatDistPlots' ||
INFO [2018-11-12 15:46:55] ||  Function ID '1' named 'univarCatDistPlots' STARTED on the 'r' engine ||
INFO [2018-11-12 15:46:55] ||  Function ID '1' named 'univarCatDistPlots' COMPLETED. Time taken : 0.0282819271087646 seconds  ||
INFO [2018-11-12 15:46:55] ||  Batch Number 1/1 COMPLETE. Time taken : 0.0368149280548096 seconds  ||
INFO [2018-11-12 15:46:55] ||  Performing final garbage cleaning and collection of outputs  ||
INFO [2018-11-12 15:46:55] ||  Pipeline Execution COMPLETE. Time taken : 0.0490520000457764 seconds||
INFO [2018-11-12 15:46:56] ||  Engine Assessment for pipeline STARTED  ||
INFO [2018-11-12 15:46:56] ||  Engine Assessment COMPLETE. Time taken : 0.0105850696563721 seconds||
INFO [2018-11-12 15:46:56] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 15:46:56] ||  Pipeline Prep. COMPLETE. Time taken : 0.00773906707763672 seconds||
INFO [2018-11-12 15:46:56] ||  Pipeline Execution STARTED  ||
INFO [2018-11-12 15:46:56] ||  Executing Batch Number : 1/1 containing functions 'univarCatDistPlots, outlierPlot, bivariatePlots' ||
INFO [2018-11-12 15:46:56] ||  Function ID '1' named 'univarCatDistPlots' STARTED on the 'r' engine ||
INFO [2018-11-12 15:46:56] ||  Function ID '1' named 'univarCatDistPlots' COMPLETED. Time taken : 0.0130951404571533 seconds  ||
INFO [2018-11-12 15:46:56] ||  Function ID '2' named 'outlierPlot' STARTED on the 'r' engine ||
INFO [2018-11-12 15:46:56] ||  Function ID '2' named 'outlierPlot' COMPLETED. Time taken : 0.0126168727874756 seconds  ||
INFO [2018-11-12 15:46:56] ||  Function ID '3' named 'bivariatePlots' STARTED on the 'r' engine ||
INFO [2018-11-12 15:46:56] ||  Function ID '3' named 'bivariatePlots' COMPLETED. Time taken : 0.0235388278961182 seconds  ||
INFO [2018-11-12 15:46:56] ||  Batch Number 1/1 COMPLETE. Time taken : 0.0636940002441406 seconds  ||
INFO [2018-11-12 15:46:56] ||  Performing final garbage cleaning and collection of outputs  ||
INFO [2018-11-12 15:46:56] ||  Pipeline Execution COMPLETE. Time taken : 0.0743699073791504 seconds||
INFO [2018-11-12 15:48:16] ||  Engine Assessment for pipeline STARTED  ||
INFO [2018-11-12 15:48:16] ||  Engine Assessment COMPLETE. Time taken : 0.0188779830932617 seconds||
INFO [2018-11-12 15:48:16] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 15:48:17] ||  Pipeline Prep. COMPLETE. Time taken : 0.0108559131622314 seconds||
INFO [2018-11-12 15:48:17] ||  Pipeline Execution STARTED  ||
INFO [2018-11-12 15:48:17] ||  Executing Batch Number : 1/1 containing functions 'univarCatDistPlots' ||
INFO [2018-11-12 15:48:17] ||  Function ID '1' named 'univarCatDistPlots' STARTED on the 'r' engine ||
INFO [2018-11-12 15:48:17] ||  Function ID '1' named 'univarCatDistPlots' COMPLETED. Time taken : 0.10735297203064 seconds  ||
INFO [2018-11-12 15:48:17] ||  Batch Number 1/1 COMPLETE. Time taken : 0.115048885345459 seconds  ||
INFO [2018-11-12 15:48:17] ||  Performing final garbage cleaning and collection of outputs  ||
INFO [2018-11-12 15:48:17] ||  Pipeline Execution COMPLETE. Time taken : 0.127121925354004 seconds||
INFO [2018-11-12 15:48:17] ||  Engine Assessment for pipeline STARTED  ||
INFO [2018-11-12 15:48:17] ||  Engine Assessment COMPLETE. Time taken : 0.0113329887390137 seconds||
INFO [2018-11-12 15:48:17] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 15:48:17] ||  Pipeline Prep. COMPLETE. Time taken : 0.00662016868591309 seconds||
INFO [2018-11-12 15:48:17] ||  Pipeline Execution STARTED  ||
INFO [2018-11-12 15:48:17] ||  Executing Batch Number : 1/1 containing functions 'univarCatDistPlots, outlierPlot, bivariatePlots' ||
INFO [2018-11-12 15:48:17] ||  Function ID '1' named 'univarCatDistPlots' STARTED on the 'r' engine ||
INFO [2018-11-12 15:48:17] ||  Function ID '1' named 'univarCatDistPlots' COMPLETED. Time taken : 0.0119998455047607 seconds  ||
INFO [2018-11-12 15:48:17] ||  Function ID '2' named 'outlierPlot' STARTED on the 'r' engine ||
INFO [2018-11-12 15:48:17] ||  Function ID '2' named 'outlierPlot' COMPLETED. Time taken : 0.011268138885498 seconds  ||
INFO [2018-11-12 15:48:17] ||  Function ID '3' named 'bivariatePlots' STARTED on the 'r' engine ||
INFO [2018-11-12 15:48:18] ||  Function ID '3' named 'bivariatePlots' COMPLETED. Time taken : 0.0354962348937988 seconds  ||
INFO [2018-11-12 15:48:18] ||  Batch Number 1/1 COMPLETE. Time taken : 0.0733411312103271 seconds  ||
INFO [2018-11-12 15:48:18] ||  Performing final garbage cleaning and collection of outputs  ||
INFO [2018-11-12 15:48:18] ||  Pipeline Execution COMPLETE. Time taken : 0.0834741592407227 seconds||
INFO [2018-11-12 15:49:30] ||  Engine Assessment for pipeline STARTED  ||
INFO [2018-11-12 15:49:30] ||  Engine Assessment COMPLETE. Time taken : 0.0114810466766357 seconds||
INFO [2018-11-12 15:49:30] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 15:49:30] ||  Pipeline Prep. COMPLETE. Time taken : 0.00697493553161621 seconds||
INFO [2018-11-12 15:49:30] ||  Pipeline Execution STARTED  ||
INFO [2018-11-12 15:49:30] ||  Executing Batch Number : 1/1 containing functions 'univarCatDistPlots' ||
INFO [2018-11-12 15:49:30] ||  Function ID '1' named 'univarCatDistPlots' STARTED on the 'r' engine ||
INFO [2018-11-12 15:49:30] ||  Function ID '1' named 'univarCatDistPlots' COMPLETED. Time taken : 0.012382984161377 seconds  ||
INFO [2018-11-12 15:49:30] ||  Batch Number 1/1 COMPLETE. Time taken : 0.0198500156402588 seconds  ||
INFO [2018-11-12 15:49:30] ||  Performing final garbage cleaning and collection of outputs  ||
INFO [2018-11-12 15:49:30] ||  Pipeline Execution COMPLETE. Time taken : 0.0307149887084961 seconds||
ERROR [2018-11-12 15:49:53] Error in parse(text = registerFunText): repeated formal argument 'outAsIn' on line 1

ERROR [2018-11-12 15:49:53] Error in parse(text = registerFunText): repeated formal argument 'outAsIn' on line 1

ERROR [2018-11-12 15:51:42] Error in parse(text = registerFunText): repeated formal argument 'outAsIn' on line 1

INFO [2018-11-12 15:58:55] ||  Engine Assessment for pipeline STARTED  ||
INFO [2018-11-12 15:58:55] ||  Engine Assessment COMPLETE. Time taken : 0.0244369506835938 seconds||
INFO [2018-11-12 15:58:55] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 15:58:55] ||  Pipeline Prep. COMPLETE. Time taken : 0.0128030776977539 seconds||
INFO [2018-11-12 15:58:55] ||  Pipeline Execution STARTED  ||
INFO [2018-11-12 15:58:55] ||  Executing Batch Number : 1/1 containing functions 'univarCatDistPlots' ||
INFO [2018-11-12 15:58:55] ||  Function ID '1' named 'univarCatDistPlots' STARTED on the 'r' engine ||
INFO [2018-11-12 15:58:55] ||  Function ID '1' named 'univarCatDistPlots' COMPLETED. Time taken : 0.371194839477539 seconds  ||
INFO [2018-11-12 15:58:55] ||  Batch Number 1/1 COMPLETE. Time taken : 0.379417181015015 seconds  ||
INFO [2018-11-12 15:58:55] ||  Performing final garbage cleaning and collection of outputs  ||
INFO [2018-11-12 15:58:55] ||  Pipeline Execution COMPLETE. Time taken : 0.390773057937622 seconds||
INFO [2018-11-12 15:58:57] ||  Engine Assessment for pipeline STARTED  ||
INFO [2018-11-12 15:58:57] ||  Engine Assessment COMPLETE. Time taken : 0.0099940299987793 seconds||
INFO [2018-11-12 15:58:57] ||  Pipeline Prep. STARTED  ||
INFO [2018-11-12 15:58:57] ||  Pipeline Prep. COMPLETE. Time taken : 0.00773501396179199 seconds||
